file_path,modifications,total_churn,total_added,total_deleted,unique_commits,first_seen,last_seen,lifespan_years,churn_density
numpy\core\defchararray.py,61,5734,3698,2036,61,2006-01-15 03:10:36+00:00,2017-03-17 20:40:04+00:00,11.2,512.0
numpy\core\tests\test_records.py,61,943,557,386,61,2006-01-04 19:00:27+00:00,2017-08-01 20:29:36+00:00,11.6,81.3
numpy\lib\tests\test_index_tricks.py,59,920,602,318,59,2006-01-04 19:00:27+00:00,2017-08-01 17:40:56+00:00,11.6,79.3
numpy\lib\type_check.py,59,1402,812,590,59,2006-01-04 19:00:27+00:00,2017-08-06 13:53:09+00:00,11.6,120.9
numpy\core\include\numpy\npy_math.h,59,1133,777,356,59,2009-02-18 17:31:27+00:00,2017-03-06 18:11:34+00:00,8.0,141.6
numpy\core\src\multiarray\common.h,59,635,475,160,59,2009-04-30 08:46:27+00:00,2017-03-26 00:08:17+00:00,7.9,80.4
numpy\core\src\multiarray\buffer.c,58,1663,1323,340,58,2009-05-05 11:10:29+00:00,2016-09-06 12:42:08+00:00,7.3,227.8
numpy\core\src\multiarray\convert.c,58,1126,702,424,58,2009-04-30 08:42:26+00:00,2017-09-23 21:17:00+00:00,8.4,134.0
scipy_test\testing.py,57,2053,1083,970,57,2002-09-18 03:34:40+00:00,2005-01-13 19:05:54+00:00,2.3,892.6
scipy_distutils\command\build_ext.py,56,1927,1152,775,56,2001-12-18 15:45:10+00:00,2005-03-24 09:22:43+00:00,3.3,583.9
numpy\core\src\multiarray\new_iterator_pywrap.c,56,4890,3698,1192,56,2010-12-11 19:48:21+00:00,2011-03-14 02:18:43+00:00,0.3,9780.0
numpy\core\tests\test_maskna.py,56,3390,1695,1695,56,2011-07-29 21:28:32+00:00,2012-05-18 21:17:10+00:00,0.8,4237.5
numpy\polynomial\polynomial.py,56,3322,2481,841,56,2009-11-14 22:30:39+00:00,2017-09-12 16:30:25+00:00,7.8,425.9
numpy\lib\tests\test_twodim_base.py,56,1675,945,730,56,2006-01-04 19:00:27+00:00,2017-07-17 23:51:33+00:00,11.5,145.7
numpy\lib\format.py,56,1223,820,403,56,2008-02-08 10:54:01+00:00,2017-09-13 16:16:23+00:00,9.6,127.4
numpy\core\tests\test_new_iterator.py,54,3705,2970,735,54,2010-12-11 23:59:39+00:00,2011-03-14 02:18:43+00:00,0.3,7410.0
numpy\polynomial\hermite_e.py,54,3396,2621,775,54,2010-09-23 01:33:06+00:00,2017-09-12 16:30:25+00:00,7.0,485.1
numpy\core\src\multiarray\nditer_pywrap.c,54,1287,642,645,54,2011-03-14 08:07:46+00:00,2017-08-12 00:05:18+00:00,6.4,201.1
numpy\polynomial\legendre.py,53,3531,2681,850,53,2010-08-17 01:52:11+00:00,2017-09-12 16:30:25+00:00,7.1,497.3
numpy\core\tests\test_print.py,53,919,583,336,53,2008-07-12 21:46:29+00:00,2017-08-01 20:29:36+00:00,9.1,101.0
numpy\lib\tests\test_format.py,52,819,582,237,52,2008-01-02 17:04:15+00:00,2017-09-13 16:16:23+00:00,9.7,84.4
numpy\fft\fftpack.py,52,2835,1727,1108,52,2006-08-29 10:28:11+00:00,2017-01-04 00:22:13+00:00,10.3,275.2
numpy\core\tests\test_nditer.py,52,2835,1624,1211,52,2011-07-10 14:48:40+00:00,2017-08-01 20:29:36+00:00,6.1,464.8
numpy\polynomial\hermite.py,51,3317,2583,734,51,2010-09-23 01:33:06+00:00,2017-09-12 16:30:25+00:00,7.0,473.9
scipy\base\numeric.py,51,653,395,258,51,2005-09-16 04:48:54+00:00,2006-01-01 02:25:37+00:00,0.3,1306.0
numpy\core\include\numpy\npy_common.h,50,1412,1252,160,50,2009-02-18 17:27:26+00:00,2017-03-06 18:11:34+00:00,8.0,176.5
numpy\distutils\command\build_src.py,50,1628,573,1055,50,2006-01-04 19:00:27+00:00,2017-05-04 19:19:16+00:00,11.3,144.1
numpy\ma\tests\test_mrecords.py,50,1588,954,634,50,2007-12-15 01:15:26+00:00,2017-08-01 20:29:36+00:00,9.6,165.4
numpy\distutils\fcompiler\intel.py,49,825,312,513,49,2006-01-04 19:00:27+00:00,2017-07-27 07:25:59+00:00,11.6,71.1
numpy\numarray\_capi.c,49,25099,9215,15884,49,2006-06-19 20:08:41+00:00,2013-08-27 10:05:22+00:00,7.2,3486.0
numpy\lib\_iotools.py,48,1569,1250,319,48,2009-01-19 21:22:52+00:00,2017-08-01 17:40:56+00:00,8.5,184.6
scipy\base\code_generators\generate_array_api.py,48,1066,273,793,48,2005-09-14 23:34:12+00:00,2005-12-06 11:10:13+00:00,0.2,2132.0
numpy\core\shape_base.py,48,1476,1036,440,48,2009-09-16 07:15:21+00:00,2017-09-25 09:40:57+00:00,8.0,184.5
